prof_name,model,ep,train_step_ms,tr-forward,tr-backward,tr-optimize,fw.Attn,fw.MoE,dispatch.fw,experts.fw,combine.fw,fw.a2a_dispatch,fw.a2a_combine,bw.a2a_combine,bw.a2a_dispatch
bench-100-olmoe-dp-only-step_55-80,olmoe,local,157.7,49.3,99.2,8.2,10.8,22.1,2.0,13.7,4.3,,,,
bench-105-olmoe-ep-host-nccl-step_55-80,olmoe,host_nccl,197.6,69.0,125.2,2.3,10.8,42.0,12.3,14.9,12.7,7.7,6.9,7.7,7.0
bench-107-olmoe-ep-naive_symm-step_55-80,olmoe,naive_symm,185.6,67.5,114.9,2.3,10.7,40.5,10.5,15.4,33.5,8.4,29.2,72.0,40.2
bench-108-olmoe-ep-pooled-symm-step_55-80,olmoe,pooled_symm,186.1,67.7,114.9,2.3,10.7,40.6,10.4,15.4,12.7,8.3,8.5,9.2,8.3
bench-109-olmoe-ep-zerocopy-symm-step_55-80,olmoe,zerocopy_symm,179.9,64.3,112.2,2.3,10.8,37.2,8.9,15.4,10.7,6.9,6.5,7.6,6.7
bench-200-qwen3-dp-only-step_28-53,qwen3,local,279.7,52.3,145.7,80.8,2.5,45.1,1.3,40.6,2.2,,,,
bench-205-qwen3-ep-host-nccl-step_28-53,qwen3,host_nccl,198.0,65.1,120.5,11.5,2.8,57.5,7.0,42.2,7.3,3.9,4.3,4.1,4.4
bench-207-qwen3-ep-naive_symm-step_28-53,qwen3,naive_symm,194.1,65.7,116.0,11.6,2.3,59.2,5.7,43.2,54.9,4.3,52.8,25.2,93.2
bench-208-qwen3-ep-pooled-symm-step_28-53,qwen3,pooled_symm,194.0,65.6,116.0,11.6,2.4,59.1,5.8,43.1,9.2,4.5,7.1,4.1,9.4
bench-209-qwen3-ep-zerocopy-symm-step_28-53,qwen3,zerocopy_symm,190.7,63.8,114.4,11.6,2.4,57.4,5.0,43.1,8.3,3.7,6.2,3.4,8.5
